2024-04-16 at 14:54:07 | INFO | (60.1%) (step=0001610) Train Loss: 0.00114693, Train Steps/Sec: 2.35
2024-04-16 at 14:54:11 | INFO | (61.7%) (step=0001620) Train Loss: 0.00124906, Train Steps/Sec: 2.34
2024-04-16 at 14:54:16 | INFO | (63.3%) (step=0001630) Train Loss: 0.00129580, Train Steps/Sec: 2.34
2024-04-16 at 14:54:20 | INFO | (64.9%) (step=0001640) Train Loss: 0.00130089, Train Steps/Sec: 2.35
2024-04-16 at 14:54:24 | INFO | (66.6%) (step=0001650) Train Loss: 0.00120660, Train Steps/Sec: 2.33
2024-04-16 at 14:54:28 | INFO | (68.2%) (step=0001660) Train Loss: 0.00113584, Train Steps/Sec: 2.33
2024-04-16 at 14:54:33 | INFO | (69.8%) (step=0001670) Train Loss: 0.00108061, Train Steps/Sec: 2.35
2024-04-16 at 14:54:37 | INFO | (71.4%) (step=0001680) Train Loss: 0.00138878, Train Steps/Sec: 2.32
2024-04-16 at 14:54:41 | INFO | (73.0%) (step=0001690) Train Loss: 0.00109378, Train Steps/Sec: 2.34
2024-04-16 at 14:54:45 | INFO | (74.6%) (step=0001700) Train Loss: 0.00124797, Train Steps/Sec: 2.36
2024-04-16 at 14:54:50 | INFO | (76.3%) (step=0001710) Train Loss: 0.00121632, Train Steps/Sec: 2.35
2024-04-16 at 14:54:54 | INFO | (77.9%) (step=0001720) Train Loss: 0.00114255, Train Steps/Sec: 2.32
2024-04-16 at 14:54:58 | INFO | (79.5%) (step=0001730) Train Loss: 0.00106781, Train Steps/Sec: 2.35
2024-04-16 at 14:55:02 | INFO | (81.1%) (step=0001740) Train Loss: 0.00390186, Train Steps/Sec: 2.37
2024-04-16 at 14:55:07 | INFO | (82.7%) (step=0001750) Train Loss: 0.00115386, Train Steps/Sec: 2.33
2024-04-16 at 14:55:11 | INFO | (84.3%) (step=0001760) Train Loss: 0.00111114, Train Steps/Sec: 2.30
2024-04-16 at 14:55:15 | INFO | (85.9%) (step=0001770) Train Loss: 0.00102110, Train Steps/Sec: 2.36
2024-04-16 at 14:55:20 | INFO | (87.6%) (step=0001780) Train Loss: 0.00108893, Train Steps/Sec: 2.39
2024-04-16 at 14:55:24 | INFO | (89.2%) (step=0001790) Train Loss: 0.00102619, Train Steps/Sec: 2.33
2024-04-16 at 14:55:28 | INFO | (90.8%) (step=0001800) Train Loss: 0.00122374, Train Steps/Sec: 2.33
2024-04-16 at 14:55:32 | INFO | (92.4%) (step=0001810) Train Loss: 0.00106199, Train Steps/Sec: 2.35
2024-04-16 at 14:55:37 | INFO | (94.0%) (step=0001820) Train Loss: 0.00110708, Train Steps/Sec: 2.35
2024-04-16 at 14:55:41 | INFO | (95.6%) (step=0001830) Train Loss: 0.00113242, Train Steps/Sec: 2.32
2024-04-16 at 14:55:45 | INFO | (97.3%) (step=0001840) Train Loss: 0.00145823, Train Steps/Sec: 2.35
2024-04-16 at 14:55:49 | INFO | (98.9%) (step=0001850) Train Loss: 0.00106985, Train Steps/Sec: 2.38
2024-04-16 at 14:55:53 | INFO | Beginning epoch 3...
2024-04-16 at 14:55:56 | INFO | (0.5%) (step=0001860) Train Loss: 0.00101241, Train Steps/Sec: 1.54
